pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
Orcadian	Burusho	EUR	SAS	15	24	61012.0	0.00036117376144725237	1626219.4549110897	0.0007220305523937612	53661.68996188056	168927000	3148	85381.43762049022	310020000	3631	83004.2372881356	470136000	5664	0.5448906522159861
Bedouin	Burusho	MID	SAS	46	24	76170.0	0.00036123836894971973	1692175.0624438287	0.0007513144006446931	52348.063555114204	210858000	4028	79872.41706161137	421327000	5275	83004.2372881356	470136000	5664	0.5004616366859945
Palestinian	Burusho	MID	SAS	46	24	79056.0	0.00036515473441108546	1677333.13060416	0.0007447246822567942	50893.27691584391	216500000	4254	78281.71573973101	430706000	5502	83004.2372881356	470136000	5664	0.5026630694719832
Druze	Burusho	MID	SAS	42	24	72285.0	0.00034589268880903047	1649073.5291874986	0.0007321776083918988	52245.25	208981000	4000	79069.13866357667	409420000	5178	83004.2372881356	470136000	5664	0.5104318303942162
Russian	Burusho	EUR	SAS	25	24	76733.0	0.00035306486789917824	1626874.3688949195	0.0007223213298187188	53047.107639736394	217334000	4097	83296.06707925734	417230000	5009	83004.2372881356	470136000	5664	0.5208973467871438
Balochi	Burusho	SAS	SAS	24	24	83561.5	0.0003553797212641356	1640328.9533507575	0.0007282950752548219	53597.674948712105	235133000	4387	83252.24382946896	445233000	5348	83004.2372881356	470136000	5664	0.5281122468460334
Brahui	Burusho	SAS	SAS	25	24	82961.0	0.0003552233821174415	1643383.930638995	0.0007296514647213943	54300.395256917	233546000	4301	83963.44747979993	436442000	5198	83004.2372881356	470136000	5664	0.5351134858698292
Makrani	Burusho	SAS	SAS	25	24	83027.0	0.0003621158132090037	1659284.9263622458	0.0007367114003844425	53371.275605214156	229283000	4296	82959.94608126325	430811000	5193	83004.2372881356	470136000	5664	0.5322125015377973
Kalash	Burusho	SAS	SAS	22	24	67268.5	0.0003593479561529093	1620430.0482169208	0.0007194600945746771	54024.819624819625	187196000	3465	85339.24441017733	332055000	3891	83004.2372881356	470136000	5664	0.5637499811778169
Pathan	Burusho	SAS	SAS	24	24	87642.0	0.0003443828834138866	1626031.8738509342	0.0007219472676586821	54089.26673751328	254490000	4705	83494.3231441048	478005000	5725	83004.2372881356	470136000	5664	0.532400288699909
Sindhi	Burusho	SAS	SAS	24	24	90011.0	0.00036285394091847264	1644173.2014707138	0.0007300018956874569	53439.03489875054	248064000	4642	83600.0	469832000	5620	83004.2372881356	470136000	5664	0.5279844710449693
Mozabite	Burusho	MID	SAS	27	24	59285.5	0.00038630528839888445	1766539.3490300218	0.0007843316461093482	54152.43472124206	153468000	2834	86723.33044232437	299976000	3459	83004.2372881356	470136000	5664	0.511600928074246
Burusho	Hazara	SAS	SAS	24	19	80215.0	0.0003608022525683237	1635810.8934422568	0.0007262890868984342	52720.891629120226	222324000	4217	83004.2372881356	470136000	5664	84074.29015947103	432310000	5142	0.4728929501250702
Hazara	Hazara	SAS	SAS	19	19	1383465.5	0.0032001700168860308	1560566.0818584398	0.0006928808942288918	84074.29015947103	432310000	5142	84074.29015947103	432310000	5142	84074.29015947103	432310000	5142	1.0
Uygur	Hazara	SAS	SAS	10	19	63983.0	0.0003505399201214067	1611664.9222988947	0.0007155684373390678	54763.576357635764	182527000	3333	88113.44113188479	348753000	3958	84074.29015947103	432310000	5142	0.5233704082832262
Bougainville	Hazara	OCE	SAS	11	19	40774.0	0.00037904972622223877	1682886.3108133152	0.000747190257097785	53357.63888888889	107569000	2016	100468.92870758673	263530000	2623	84074.29015947103	432310000	5142	0.408185026372709
PapuanHighlands	Hazara	OCE	SAS	9	19	32171.0	0.00040498760023666554	1701302.2250311156	0.0007553667997380534	52922.71818787475	79437000	1501	96848.01864801865	207739000	2145	84074.29015947103	432310000	5142	0.3823884778496094
PapuanSepik	Hazara	OCE	SAS	8	19	32304.0	0.00039792562299060125	1699293.820729066	0.0007544750816717988	51707.64331210191	81181000	1570	95321.77088087631	208850000	2191	84074.29015947103	432310000	5142	0.38870481206607616
Colombian	Hazara	AMR	SAS	7	19	33274.0	0.00038583024118738407	1604792.8320689206	0.0007125172752773526	53038.13038130381	86240000	1626	90187.00114025085	158188000	1754	84074.29015947103	432310000	5142	0.5451740966444989
Karitiana	Hazara	AMR	SAS	12	19	33624.0	0.0003767057294584239	1599538.620580026	0.0007101844405469209	53352.06216377764	89258000	1673	89790.09566685425	159557000	1777	84074.29015947103	432310000	5142	0.559411370231328
Surui	Hazara	AMR	SAS	8	19	30802.0	0.00040904080846712615	1598786.2026012284	0.0007098503720008698	55945.765230312034	75303000	1346	94387.41958541816	132048000	1399	84074.29015947103	432310000	5142	0.5702699018538713
Pima	Hazara	AMR	SAS	13	19	39109.5	0.0003801504680255446	1601132.4432942495	0.0007108920871633067	54061.48187073042	102879000	1903	90849.21014839636	189784000	2089	84074.29015947103	432310000	5142	0.5420846857480083
Maya	Hazara	AMR	SAS	21	19	53543.5	0.00036261343627251797	1611759.8061218157	0.0007156105651213115	54028.54006586169	147660000	2733	86030.21718602456	273318000	3177	84074.29015947103	432310000	5142	0.5402498188922793
Yakut	Hazara	EAS	SAS	25	19	73544.5	0.0003529599500875867	1589218.7261851311	0.0007056024765148902	54588.682211160594	208365000	3817	85160.19310950187	388075000	4557	84074.29015947103	432310000	5142	0.5369194099078787
Oroqen	Hazara	EAS	SAS	9	19	53782.5	0.0003630689988051278	1582152.434612117	0.00070246509035681	52791.51817533856	148133000	2806	83778.13504823152	260550000	3110	84074.29015947103	432310000	5142	0.5685396277106122
Daur	Hazara	EAS	SAS	9	19	51618.0	0.0003533253018645785	1584233.4690676387	0.0007033890557250345	53474.37774524158	146092000	2732	87494.140625	268782000	3072	84074.29015947103	432310000	5142	0.5435334211368321
Hezhen	Hazara	EAS	SAS	9	19	55740.5	0.0003658521377282453	1584437.8342938588	0.0007034797925174964	55302.35934664247	152358000	2755	85640.29706167258	265228000	3097	84074.29015947103	432310000	5142	0.5744416124994345
Mongolian	Hazara	EAS	SAS	9	19	56649.5	0.0003626403523371785	1587114.067642677	0.0007046680222102026	54448.93691181597	156214000	2869	87875.03914813655	280585000	3193	84074.29015947103	432310000	5142	0.5567439456849084
Xibo	Hazara	EAS	SAS	9	19	54881.5	0.00035944028922101567	1589047.6522591757	0.0007055265208369006	54414.11261582324	152686000	2806	88987.14239794278	276839000	3111	84074.29015947103	432310000	5142	0.5515335628289367
Japanese	Hazara	EAS	SAS	27	19	63852.5	0.00035080128997522236	1587871.2556867688	0.0007050042086333145	50829.0980173136	182019000	3581	78430.189501198	360073000	4591	84074.29015947103	432310000	5142	0.5055058279848809
NorthernHan	Hazara	EAS	SAS	10	19	54890.0	0.00036989116883992046	1586899.4523093128	0.0007045727344387808	52566.418703506904	148395000	2823	85439.47858472998	275286000	3222	84074.29015947103	432310000	5142	0.5390575619537499
Naxi	Hazara	EAS	SAS	8	19	51727.5	0.0003691657151013417	1590727.1841589836	0.0007062722217579657	54058.641975308645	140120000	2592	88766.8252889191	261152000	2942	84074.29015947103	432310000	5142	0.5365457664501899
Yi	Hazara	EAS	SAS	10	19	54952.0	0.0003621290700969377	1591865.9333207721	0.0007067778187632414	53868.29960951367	151747000	2817	87185.6014580802	287015000	3292	84074.29015947103	432310000	5142	0.5287075588383883
Tu	Hazara	EAS	SAS	10	19	57468.5	0.0003572689689471885	1591816.3447745382	0.0007067558017806492	53475.73138297872	160855000	3008	86606.52870883125	297147000	3431	84074.29015947103	432310000	5142	0.5413313948988211
Tujia	Hazara	EAS	SAS	9	19	52307.0	0.00036902183498536105	1589762.0498405723	0.0007058437085810065	53610.06051437216	141745000	2644	89896.23908663532	267711000	2978	84074.29015947103	432310000	5142	0.529470212281154
Cambodian	Hazara	EAS	SAS	9	19	56157.5	0.0003796606158942636	1608496.774764031	0.0007141618010405323	53592.391304347824	147915000	2760	85110.81794195251	290313000	3411	84074.29015947103	432310000	5142	0.5095018135598475
Dai	Hazara	EAS	SAS	9	19	47628.0	0.000366434061410865	1597109.7654697043	0.0007091060451362069	50732.63075722092	129977000	2562	84013.2362673726	253888000	3022	84074.29015947103	432310000	5142	0.511946212503151
Lahu	Hazara	EAS	SAS	8	19	46185.0	0.00036675719458738326	1598194.8388927022	0.0007095878104727543	52470.0	125928000	2400	89675.22935779816	244365000	2725	84074.29015947103	432310000	5142	0.5153274814314652
